race,city,eoe,call
w,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,1.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,1.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,1.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,1.0
w,b,0.0,1.0
w,b,0.0,1.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,1.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,1.0
w,b,0.0,1.0
b,b,0.0,0.0
w,b,0.0,1.0
b,b,0.0,1.0
w,c,0.0,1.0
b,c,0.0,1.0
w,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,1.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,1.0
b,c,0.0,1.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,1.0
w,c,0.0,1.0
b,c,0.0,1.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,1.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,c,1.0,0.0
w,c,0.0,1.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,1.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,1.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,1.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,b,1.0,0.0
b,b,1.0,1.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,1.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,1.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,1.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,1.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,1.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,1.0
w,c,1.0,1.0
b,c,1.0,1.0
b,c,1.0,1.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,1.0
b,c,0.0,1.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,1.0
w,b,1.0,1.0
b,b,1.0,1.0
b,b,1.0,1.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,1.0
b,b,1.0,1.0
w,b,1.0,0.0
b,b,1.0,1.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,1.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,1.0
b,c,1.0,0.0
w,c,1.0,1.0
w,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,1.0
w,c,0.0,0.0
b,c,0.0,1.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
b,c,0.0,1.0
w,c,0.0,1.0
w,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
w,c,1.0,1.0
b,c,1.0,0.0
w,c,1.0,1.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
w,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,1.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,1.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,1.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,1.0
b,b,1.0,1.0
w,b,1.0,0.0
b,b,1.0,1.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,c,0.0,1.0
w,c,0.0,1.0
b,c,0.0,0.0
w,c,0.0,1.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,1.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,1.0
b,c,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
b,c,1.0,0.0
w,c,1.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,1.0,0.0
b,c,1.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,1.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,1.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,1.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,1.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,1.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,1.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,1.0,0.0
b,b,1.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
w,b,0.0,0.0
b,b,0.0,0.0
b,b,0.0,0.0
w,b,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
w,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
b,c,0.0,0.0
